Name,Region,Type,airport_dist(km),railway_dist(km),Elevation(m),rating
Kufri,North East,Hill Station,20.0,100.0,2210.0,7.0
Wilson Hills,West,Hill Station,122.0,60.0,750.0,8.0
Paithalmala,South,Hill Station,159.0,39.0,1372.0,9.0
Ponmudi,South,Hill Station,51.0,33.0,1100.0,9.0
Ranipuram,South,Hill Station,125.0,55.0,1022.0,9.0
Manali,North,Hill Station,50.0,250.0,2050.0,9.4
Gulmarg,North,Hill Station,56.0,290.0,2650.0,9.0
Dharamshala,North East,Hill Station,15.0,85.0,1457.0,9.2
Lansdowne,North East,Hill Station,152.0,41.0,1706.0,8.0
Auli,North East,Hill Station,279.0,273.0,2500.0,9.4
Darjeeling,North East,Hill Station,96.0,62.0,2042.0,9.0
Jawaharlal Nehru Biological Park,East,Zoological Park,122.0,12.0,210.0,7.2
Tata Steel Zoological Park,East,Zoological Park,2.9,6.9,210.0,8.6
Nandankanan Zoological Park,East,Zoological Park,17.5,17.0,58.0,8.8
Padmaja Naidu Himalayan Zoological Park,East,Zoological Park,81.9,2.8,2042.16,8.8
National zooligical Park,North,Zoological Park,24.0,7.0,216.0,8.2
Nehru Zoological Park,South West,Zoological Park,16.9,6.9,505.0,8.4
Mysore Zoo,South West,Zoological Park,170.0,5.0,763.0,9.0
Arignar Anna Zoological Park,South East,Zoological Park,15.0,6.0,50.0,8.2
Gopalpur Zoo,North,Zoological Park,37.0,115.0,733.0,7.6
Gulabh Bagh and Zoo,North West,Zoological Park,22.0,2.0,598.0,8.2
Chattbir Zoo,North West,Zoological Park,12.0,315.0,2134.0,8.6
Pt. G.B Pant High Altitude Zoo,North,Zoological Park,68.6,34.7,2100.0,8.6
Alipore Zoo,North East,Zoological Park,22.0,7.0,14.0,7.8
Indira Gandhi Zoological Park,South,Zoological Park,7.0,4.0,45.0,8.2
Agonda beach,West,Beach,70.0,38.0,2.0,9.0
Palolem Beach,East,Beach,67.0,1.78,3.0,9.0
Radhanagar Beach,South East,Beach,63.0,9.0,4.0,9.6
Cavelossim beach,West,Beach,33.0,15.0,2.0,9.0
Puri Beach,East,Beach,60.0,3.0,5.0,8.8
Candolim Beach,West,Beach,46.0,21.0,5.0,8.0
Dhanushkodi Beach,West,Beach,142.0,23.4,5.0,9.0
Colva Beach,West,Beach,24.0,8.0,5.0,8.0
Utorda Beach,West,Beach,18.0,12.0,5.0,9.0
Marari Beach,West,Beach,60.0,16.0,5.0,8.8
Elephanta Beach,East,Beach,63.0,15.0,5.0,9.2
The Konark Sun Temple,East,Temple,64.0,35.3,2.0,9.2
Somnath Temple,West,Temple,125.0,1.5,2.0,9.4
Kedarnath Temple,North,Temple,228.0,110.0,3583.0,9.2
Ramnathaswamy Temple,South,Temple,163.0,1.3,10.0,9.0
Vaishno Devi Mandir,North,Temple,50.0,17.0,1585.0,9.0
Siddhivinayak Temple,West,Temple,11.9,2.0,14.0,9.4
Badrinath Temple,North,Temple,311.0,318.0,3133.0,9.2
Gangotri Temple,North,Temple,260.0,250.0,3100.0,9.4
Kashi Vishwanath Temple,North East,Temple,25.0,6.0,81.0,9.2
Lord Jagannath Temple,South East,Temple,60.0,28.0,1.0,9.2
Yamunotri Temple,North,Temple,210.0,175.0,3291.0,9.0
Meenakshi Temple,South,Temple,17.0,3.0,101.0,9.4
Amarnath Cave Temple,North,Temple,95.0,315.0,3888.0,8.8
